area,feeder,PEANO
N1,NIA06,20670967
N1,NIA06,6100858058
N1,NIA06,29124604
N1,NIA06,25785858
N1,NIA06,6100180330
N1,NIA06,26465307
N1,NIA06,23013009
N1,NIA06,5600681357
N1,NIA06,24038378
N1,NIA06,23270194
N1,NIA06,30263017
N1,NIA06,27126622
N1,NIA06,20192711
N1,NIA06,6100180344
N1,NIA06,5800710206
N1,NIA06,21346435
N1,NIA06,19321618
N1,NIA06,20674272
N1,NIA06,5700508977
N1,NIA06,6001461124
N1,NIA06,19009851
N1,NIA06,6001458920
N1,NIA06,21346417
N1,NIA06,16038354
N1,NIA06,5700533851
N1,NIA06,19010065
N1,NIA06,18524723
N1,NIA06,6001460641
N1,NIA06,21346430
N1,NIA06,20192735
N1,NIA06,16490509
N1,NIA06,27379448
N1,NIA06,20542500
N1,NIA06,5701450882
N1,NIA06,21346413
N1,NIA06,16083253
N1,NIA06,24261003
N1,NIA06,21095463
N1,NIA06,29078702
N1,NIA06,5800665000
N1,NIA06,21325818
N1,NIA06,24442283
N1,NIA06,21136614
N1,NIA06,22979694
N1,NIA06,29812849
N1,NIA06,6001460644
N1,NIA06,21015422
N1,NIA06,23436494
N1,NIA06,5800665382
N1,NIA06,20218920
N1,NIA06,22979696
N1,NIA06,19321655
N1,NIA06,5800524089
N1,NIA06,30448373
N1,NIA06,27159699
N1,NIA06,24749109
N1,NIA06,5600681308
N1,NIA06,20517943
N1,NIA06,6001460639
N1,NIA06,23374442
N1,NIA06,26328648
N1,NIA06,29812853
N1,NIA06,5800262820
N1,NIA06,6000266157
N1,NIA06,26778082
N1,NIA06,21346466
N1,NIA06,14223490
N1,NIA06,6001460710
N1,NIA06,5700532338
N1,NIA06,20470674
N1,NIA06,18774599
N1,NIA06,21926929
N1,NIA06,6100857975
N1,NIA06,22442774
N1,NIA06,6000845286
N1,NIA06,5800448893
N1,NIA06,20117519
N1,NIA06,29189936
N1,NIA06,27703335
N1,NIA06,25789786
N1,NIA06,6100858016
N1,NIA06,20470670
N1,NIA06,27589017
N1,NIA06,5800256821
N1,NIA06,29812852
N1,NIA06,22191096
N1,NIA06,29079996
N1,NIA06,28051478
N1,NIA06,18198650
N1,NIA06,26465370
N1,NIA06,21346487
N1,NIA06,25248405
N1,NIA06,5800448816
N1,NIA06,5900918986
N1,NIA06,6100858041
N1,NIA06,5700533783
N1,NIA06,18354471
N1,NIA06,29812850
N1,NIA06,23981050
N1,NIA06,15904898
N1,NIA06,19684536
N1,NIA06,20769614
N1,NIA06,18704870
N1,NIA06,5800368448
N1,NIA06,6001713659
N1,NIA06,15904901
N1,NIA06,5600055584
N1,NIA06,29104174
N1,NIA06,16478971
N1,NIA06,25785926
N1,NIA06,20642298
N1,NIA06,21696009
N1,NIA06,5901006112
N1,NIA06,6001460662
N1,NIA06,6000277551
N1,NIA06,6001460673
N1,NIA06,15199865
N1,NIA06,21345770
N1,NIA06,19683054
N1,NIA06,20218926
N1,NIA06,21346595
N1,NIA06,21346608
N1,NIA06,20382097
N1,NIA06,5900369666
N1,NIA06,5700508963
N1,NIA06,21293348
N1,NIA06,25786350
N1,NIA06,22007453
N1,NIA06,23311898
N1,NIA06,5901006113
N1,NIA06,17331893
N1,NIA06,29812755
N1,NIA06,23374444
N1,NIA06,22489789
N1,NIA06,18730152
N1,NIA06,24376065
N1,NIA06,18730292
N1,NIA06,E017452
N1,NIA06,29809730
N1,NIA06,27031447
N1,NIA06,22912498
N1,NIA06,18224605
N1,NIA06,17385737
N1,NIA06,26820062
N1,NIA06,19963844
N1,NIA06,21095464
N1,NIA06,5700509029
N1,NIA06,19963930
N1,NIA06,14223250
N1,NIA06,22007462
N1,NIA06,20646864
N1,NIA06,6001460678
N1,NIA06,24179010
N1,NIA06,20839806
N1,NIA06,27703365
N1,NIA06,24749111
N1,NIA06,18152097
N1,NIA06,29815369
N1,NIA06,5800665460
N1,NIA06,5700633216
N1,NIA06,18931203
N1,NIA06,5800337960
N1,NIA06,29813385
N1,NIA06,22353049
N1,NIA06,29000860
N1,NIA06,5900369704
N1,NIA06,25248411
N1,NIA06,23436436
N1,NIA06,29813398
N1,NIA06,6001353576
N1,NIA06,30267163
N1,NIA06,22912493
N1,NIA06,28021974
N1,NIA06,17852428
N1,NIA06,26925455
N1,NIA06,28010834
N1,NIA06,19683045
N1,NIA06,24037510
N1,NIA06,19126353
N1,NIA06,16638756
N1,NIA06,20368021
N1,NIA06,16880216
N1,NIA06,5800665114
N1,NIA06,5800262842
N1,NIA06,25265068
N1,NIA06,6001353581
N1,NIA06,30447529
N1,NIA06,21145119
N1,NIA06,18354434
N1,NIA06,20368824
N1,NIA06,6000025282
N1,NIA06,20542451
N1,NIA06,20517945
N1,NIA06,18524807
N1,NIA06,26863107
N1,NIA06,20618579
N1,NIA06,19009986
N1,NIA06,23694727
N1,NIA06,5800254675
